Wall time,Step,Value
1552754209.1309552,1159976,2.720963954925537
1552754364.6365938,1168616,2.621234655380249
1552754426.8572204,1172029,1.9454495906829834
1552754581.8096776,1180541,2.6828503608703613
1552754583.0476787,1180605,2.4268414974212646
1552754744.9699368,1189565,2.481123447418213
1552754884.1607583,1197309,2.6672353744506836
1552754893.0392878,1197757,2.1558666229248047
1552755052.5343988,1205757,3.0818634033203125
1552755180.8587942,1212989,2.141282320022583
1552755235.1104908,1215997,3.32328462600708
1552755285.5306087,1218749,2.0387234687805176
1552755365.5649927,1223101,2.485694408416748
1552755426.4500186,1226493,2.7256927490234375
1552755543.4334576,1233021,2.3752403259277344
1552755835.7956429,1249277,2.271317958831787
1552755842.8414156,1249661,2.873478889465332
1552755982.237507,1256637,2.5239369869232178
1552755998.3682957,1257533,3.080660343170166
1552756089.1365008,1262461,2.449545383453369
1552756096.6974454,1262845,2.2936439514160156
1552756195.869668,1268349,2.7712502479553223
1552756221.7241428,1269821,2.2178969383239746
1552756301.4297178,1274301,2.434144973754883
1552756326.939423,1275709,1.9900189638137817
1552756365.3722641,1277821,2.623781681060791
1552756392.1756005,1279357,2.124612331390381
1552756438.5133154,1281917,2.33935809135437
1552756459.0413141,1283069,1.7319871187210083
1552756465.1876462,1283453,2.5031368732452393
1552756468.828924,1283645,2.6996874809265137
1552756558.2319114,1288509,3.2824273109436035
1552756559.4198909,1288573,2.2948570251464844
1552756614.8043904,1291581,2.3529586791992188
1552756650.9693794,1293565,2.954336166381836
1552756681.8212163,1295293,2.969022274017334
1552756685.3960757,1295485,2.1027920246124268
1552756690.923437,1295805,2.610076665878296
1552756773.0235803,1300306,1.809182047843933
1552756857.6014323,1304146,2.2264652252197266
1552756924.137522,1307794,2.409510612487793
1552756977.246699,1310674,1.9067027568817139
1552757025.6064928,1313298,2.865044593811035
1552757041.3113823,1314130,2.1231791973114014
1552757042.5047998,1314194,2.0639846324920654
1552757067.809695,1315602,2.1078834533691406
1552757086.6648264,1316626,2.1578450202941895
1552757215.5407887,1323730,2.4257564544677734
1552757239.3935673,1325074,1.949952483177185
1552757319.966914,1329490,2.3704335689544678
1552757323.4240904,1329682,2.101733446121216
1552757324.3973587,1329746,2.2089197635650635
1552757379.8365982,1332818,2.2488558292388916
1552757406.1861708,1334354,1.882927417755127
1552757560.9384232,1342802,2.5186281204223633
1552757667.9231868,1348754,2.4073126316070557
1552757756.5792017,1352850,1.9051964282989502
1552757832.9216378,1357010,2.18190860748291
1552757859.7158782,1358482,2.15189790725708
1552757957.3841753,1363858,1.8651119470596313
1552757960.7624886,1364050,2.4028396606445312
1552757966.900049,1364370,1.8069051504135132
1552758044.704959,1368658,2.710308074951172
1552758065.8250744,1369810,2.497706651687622
1552758152.8956766,1374610,2.2304728031158447
1552758197.8664215,1377106,2.337888240814209
1552758378.8925924,1387218,2.1157453060150146
1552758427.5880075,1389970,2.499206066131592
1552758510.2566812,1394514,2.5679640769958496
1552758539.1385944,1396178,2.61250638961792
1552758562.4638135,1397522,2.1076207160949707
1552758569.3605769,1397906,2.4774675369262695
1552758767.0182953,1408018,2.705181837081909
1552759043.7056656,1423314,2.186180591583252
1552759059.7695541,1424146,2.107234477996826
1552759098.578795,1426322,2.2216479778289795
1552759142.9830103,1428754,2.6220569610595703
1552759174.8334553,1430503,2.213651180267334
1552759308.0786967,1437799,2.139317035675049
1552759349.7479143,1440039,2.4440526962280273
1552759391.6822686,1442407,1.9776138067245483
1552759496.523585,1448231,1.9780621528625488
1552759661.8548632,1456551,2.2358579635620117
1552759750.315086,1461351,1.9352669715881348
1552759855.19756,1467111,1.992750883102417
1552759858.4476063,1467303,2.040668249130249
1552760033.2153146,1476967,2.1472244262695312
1552760096.1258187,1480423,1.9243806600570679
1552760107.7095644,1481063,2.721911907196045
1552760147.4207342,1483239,2.4093332290649414
1552760160.2364125,1483879,2.2498321533203125
1552760191.280378,1485543,1.6024444103240967
1552760244.0189188,1488423,2.2630395889282227
1552760270.6162128,1489895,2.222999334335327
1552760358.9379225,1494695,1.8607301712036133
1552760381.1388965,1495911,2.157942533493042
1552760436.0460424,1498919,2.7386903762817383
1552760580.9803324,1506151,1.8414349555969238
1552760637.9929194,1509287,2.6313705444335938
1552760731.7807472,1514471,1.7741029262542725
1552760744.4828231,1515175,2.8927664756774902
1552760767.6759865,1516455,2.0295016765594482
1552760851.5470126,1521127,2.6043343544006348
1552761038.2165675,1531623,2.388491153717041
1552761202.645681,1540647,2.3073110580444336
1552761247.9006686,1543143,2.40122652053833
1552761281.1801367,1544999,2.605179786682129
1552761381.303427,1550567,3.0836334228515625
1552761451.3065379,1553639,2.2915148735046387
1552761453.6624596,1553767,2.967761993408203
1552761497.1131663,1556199,2.075939893722534
1552761523.2563617,1557671,1.7812840938568115
1552761604.1430802,1562172,1.9195232391357422
1552761766.6280034,1571196,2.1539039611816406
1552761842.6086519,1575292,2.085012435913086
1552761956.873492,1581564,2.1201884746551514
1552761966.2509353,1582076,2.634946346282959
1552762167.4665518,1593212,2.0139756202697754
1552762204.9806218,1595324,2.0985167026519775
1552762290.5448256,1600060,2.1037473678588867
1552762348.7224903,1602556,2.6975443363189697
1552762448.2097726,1608060,1.6680936813354492
1552762559.1833413,1614332,2.442918062210083
1552762573.5295799,1615164,1.795668363571167
1552762583.5099251,1615740,2.5638322830200195
1552762676.5848055,1620796,2.388617515563965
1552762744.522781,1624572,2.078467607498169
1552762877.321739,1631868,1.9363988637924194
1552762894.1238606,1632828,2.195443630218506
1552762985.848823,1637884,2.6196188926696777
1552763086.3302646,1643452,1.771691083908081
1552763250.0292826,1651516,1.8508695363998413
1552763289.5073915,1653756,1.888650894165039
1552763376.5657651,1658492,1.586336374282837
1552763518.1172326,1666428,1.9748481512069702
1552763543.5928023,1667772,2.1045451164245605
1552763573.0812404,1669372,2.1064443588256836
1552763646.700024,1673468,1.6556789875030518
1552763663.127902,1674364,1.9752662181854248
1552763805.8993776,1682236,2.259092330932617
1552763819.1657991,1682940,2.707099437713623
1552763931.415374,1689297,2.564086437225342
1552764010.403192,1693585,1.9415640830993652
1552764253.8796132,1706385,2.375718116760254
1552764402.1195621,1714513,2.346714735031128
1552764403.3009531,1714577,1.9051880836486816
1552764436.93225,1716433,2.4139316082000732
1552764438.9743476,1716561,1.9473252296447754
1552764553.3896086,1722897,1.89609694480896
1552764799.7808433,1736593,2.408389091491699
1552764806.563284,1736977,1.9030669927597046
1552764813.861718,1737361,1.7208517789840698
1552764818.5344982,1737617,1.8217711448669434
1552764819.7028322,1737681,2.0694212913513184
1552764954.0826132,1745041,2.480381965637207
1552765234.2614453,1759825,2.222543716430664
1552765347.1286013,1766097,2.176361560821533
1552765358.371868,1766737,1.6195931434631348
1552765365.9934418,1767185,2.5853919982910156
1552765386.7427125,1768337,2.926443099975586
1552765505.2870975,1774801,2.367647647857666
1552765604.544538,1780305,2.07110595703125
1552765710.1132774,1786129,2.463531970977783
1552765712.423849,1786257,2.3508095741271973
1552765750.8407452,1788305,2.041727304458618
1552765771.5932703,1789457,1.8989771604537964
1552766112.953468,1807569,3.1809825897216797
1552766143.2121797,1809233,2.5088677406311035
1552766192.9629211,1812049,1.8242532014846802
1552766327.4918163,1819494,1.969817042350769
1552766342.3466306,1820326,1.830456018447876
1552766450.6031375,1826214,1.5327847003936768
1552766484.7650373,1828070,1.882009744644165
1552766530.285631,1830566,1.7845160961151123
1552766963.8727682,1853542,1.8532743453979492
1552766993.3866463,1855206,1.9581729173660278
1552767018.1588707,1856614,1.8334336280822754
1552767039.5536869,1857830,1.695845127105713
1552767068.1773481,1859430,1.6695847511291504
1552767087.5234985,1860454,2.545194149017334
1552767101.8046863,1861222,2.2252345085144043
1552767230.7193089,1868326,2.023203134536743
1552767303.6899679,1872294,2.476649045944214
1552767541.1689312,1885606,1.9550856351852417
1552767548.708866,1886054,2.194303512573242
1552767558.9660006,1886630,2.4542064666748047
1552767617.353302,1889830,1.8811149597167969
1552767620.9967172,1890022,2.436434268951416
1552767645.8524976,1891366,1.6152937412261963
1552767681.5763414,1893350,2.304281234741211
1552767704.3487437,1894566,2.1569035053253174
1552767876.9180818,1903270,1.8141043186187744
1552767970.2316732,1908454,1.5056085586547852
1552767971.3665981,1908518,2.491173267364502
1552768012.125257,1910694,2.352691650390625
1552768169.2828088,1919462,1.685028314590454
1552768174.8803678,1919782,2.762234687805176
1552768204.9288058,1921446,2.5498406887054443
1552768256.8552725,1924390,2.229979991912842
1552768273.2232022,1925350,2.4843087196350098
1552768369.0608635,1930598,2.43453311920166
1552768449.2563229,1935014,1.7190732955932617
1552768497.4784281,1937638,2.232238292694092
1552768545.7218442,1940390,2.4358205795288086
1552768699.0328345,1948838,2.0862908363342285
1552768710.705032,1949499,1.9737621545791626
1552768843.9395957,1956027,1.3341397047042847
1552768889.2034354,1958587,1.7416895627975464
1552768997.4930449,1964603,1.8722846508026123
1552769012.4539206,1965499,1.657893180847168
1552769032.423428,1966651,1.6613588333129883
1552769398.3168068,1986747,1.770857334136963
1552769459.165781,1990139,2.0914955139160156
1552769823.4755251,2009403,2.251730442047119
1552769866.9826481,2011771,1.5451414585113525
1552770157.4111135,2027963,1.7268457412719727
1552770188.3381093,2029627,1.695765733718872
1552770287.967143,2035131,2.0545167922973633
1552770364.1974156,2039291,1.72088623046875
1552770372.5869162,2039739,2.40179443359375
1552770381.6641626,2040251,2.5357747077941895
1552770438.0424778,2043323,1.9278640747070312
1552770448.3062441,2043899,2.420637607574463
1552770515.9971783,2047675,2.4036755561828613
1552770530.405531,2048507,2.719365119934082
1552770725.593739,2058555,1.7704386711120605
1552770764.6300845,2060667,2.4659175872802734
1552770811.8102438,2063355,2.423445463180542
1552771024.6587281,2075259,2.321596384048462
1552771132.10847,2081232,1.8297290802001953
1552771147.0181508,2082064,2.123168468475342
1552771227.6624513,2086480,2.07906174659729
1552771279.8809597,2089424,1.8968734741210938
1552771336.5109377,2092560,2.088911533355713
1552771400.963205,2096144,1.7469948530197144
1552771571.7799122,2104592,1.7485920190811157
1552771581.2244616,2105104,1.9170167446136475
1552771698.2033992,2111504,1.809931755065918
1552771711.7505295,2112272,1.779373288154602
1552771733.9992437,2113552,1.5923185348510742
1552771868.9151227,2121104,1.534010410308838
1552771898.9763248,2122832,2.10250186920166
1552771901.3223016,2122960,2.516841411590576
1552772006.6988387,2128720,2.163708448410034
1552772088.867624,2133200,1.7628709077835083
1552772120.463273,2134928,2.0905206203460693
1552772129.1121988,2135376,2.1508066654205322
1552772160.9236977,2137168,1.9686394929885864
1552772317.7150636,2145872,1.9815939664840698
1552772439.5692751,2151760,2.0425403118133545
1552772552.24859,2157968,2.340430736541748
1552772563.2411187,2158544,2.0103700160980225
1552772577.2058654,2159312,2.0455539226531982
1552772600.0991414,2160528,1.8826611042022705
1552772620.3997018,2161616,1.3160209655761719
1552772681.7399857,2165072,2.113619327545166
1552772695.5568926,2165840,2.69704532623291
1552772724.2798247,2167440,1.805720329284668
1552772766.3403637,2169808,1.9533038139343262
1552772884.09761,2176464,2.015920400619507
1552772905.5045989,2177680,2.0659844875335693
1552772913.7926455,2178128,1.775454044342041
1552772967.3499691,2181072,2.1856794357299805
1552773026.425133,2184400,2.129985809326172
1552773030.1279564,2184592,2.0573601722717285
1552773071.8679607,2186832,2.421327590942383
1552773281.3291128,2198480,1.9326927661895752
1552773282.6261797,2198544,2.3782949447631836
1552773307.7552931,2199888,2.2709195613861084
1552773386.7363205,2203408,2.2220635414123535
1552773486.7529175,2208976,2.368734359741211
1552773487.1744773,2208997,1.9613611698150635
1552773530.852687,2211429,1.7805700302124023
1552773569.4730315,2213669,1.6115074157714844
1552773580.52995,2214245,1.8202462196350098
1552773782.2039678,2225445,2.6142070293426514
1552773892.8552432,2231525,1.7667256593704224
1552774125.792645,2244389,2.5073556900024414
1552774168.6916964,2246693,1.6024744510650635
1552774240.41151,2250661,1.6475882530212402
1552774343.3391197,2255589,2.579723834991455
1552774433.264194,2260645,1.5963561534881592
1552774457.8186636,2261989,2.0719337463378906
1552774467.269823,2262501,1.5365993976593018
1552774482.2743301,2263333,1.6103570461273193
1552774484.8337088,2263461,2.355295181274414
1552774603.6972,2270117,2.218658924102783
1552774606.212027,2270245,2.1390678882598877
1552774707.089851,2275813,1.8941888809204102
1552774710.7529554,2276005,1.618999719619751
1552774940.902446,2288677,2.0800812244415283
1552774948.96993,2289125,2.3835372924804688
1552775025.414956,2293349,1.8961529731750488
1552775031.245497,2293669,1.9433404207229614
1552775150.6888316,2300325,2.337225914001465
1552775171.1788256,2301413,2.3219072818756104
1552775262.3635497,2305701,2.103105068206787
1552775285.0545866,2306981,2.109516143798828
1552775409.355264,2313829,1.8731505870819092
1552775485.9706504,2318117,1.7752190828323364
1552775502.6914225,2319077,1.7314436435699463
1552775521.1527028,2320101,2.3244833946228027
1552775535.8685725,2320933,1.6646316051483154
1552775576.7380073,2323173,2.3601162433624268
1552775606.6667535,2324837,2.8041815757751465
1552775878.167121,2339706,1.3677173852920532
1552775947.300129,2343546,1.9323492050170898
1552775982.3125284,2345466,2.146437168121338
1552776004.549028,2346682,1.4090242385864258
1552776122.5206103,2352378,1.7192211151123047
1552776168.4236073,2354874,2.2689449787139893
1552776172.9609869,2355130,1.9548639059066772
1552776184.0770068,2355706,1.5714248418807983
1552776219.4508743,2357690,1.9609140157699585
1552776286.6643636,2361338,1.7842483520507812
1552776454.964112,2370682,1.5588603019714355
1552776586.6002035,2378106,1.897186279296875
1552776625.0208879,2380218,2.006131410598755
1552776751.379798,2387194,1.9830925464630127
1552776915.2902055,2396410,1.797532558441162
1552776955.1293442,2398586,1.5858125686645508
1552777287.9530318,2416186,2.0677380561828613
1552777337.5663824,2418938,1.7223063707351685
1552777418.4056625,2423354,2.1905412673950195
1552777784.496425,2443578,2.308412551879883
1552777847.6124685,2447098,1.5968825817108154
1552777865.7167277,2448058,1.6819369792938232
1552778001.2150476,2454650,2.450300693511963
1552778085.3850095,2459386,2.004398822784424
1552778105.8182428,2460410,2.1857471466064453
1552778118.4761689,2461114,2.0302209854125977
1552778157.4972477,2463290,2.3581814765930176
1552778248.7770915,2468410,1.703476905822754
1552778318.687994,2472271,2.112175464630127
1552778319.9082606,2472335,2.0359458923339844
1552778386.744466,2476047,1.4868240356445312
1552778408.492454,2477327,1.5330034494400024
1552778458.3385797,2480079,2.0203280448913574
1552778546.9009109,2485007,1.5448408126831055
